"","n_rep","n_patch","p_branch","min_env","max_env","rho","min_optim","max_optim","sd_env_net","theta","sd_env","phi","sd_niche_width","niche_cost","p_dispersal","min_alpha","max_alpha","alpha_div","beta_div","gamma_div"
"164",64,123,0.262986065261066,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.9986260162602,10.0013739837398,26
"165",65,118,0.395839513279498,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.0890677966102,11.5819322033898,27.671
"166",66,94,0.560943142324686,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.2593085106383,10.7406914893617,28
"167",67,100,0.752711508609355,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,15.20434,8.79566,24
"168",68,108,0.396631843410432,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,11.3279722222222,12.6720277777778,24
"169",69,87,0.256290443241596,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.2667931034483,8.73320689655172,23
"170",70,76,0.491026190295816,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,18.2518157894737,8.74818421052631,27
"171",71,103,0.191732590273023,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.6663495145631,8.50765048543689,22.174
"172",72,133,0.882238823361695,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,16.4813383458647,8.95266165413534,25.434
"173",73,136,0.647394237108529,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,11.3300367647059,11.6699632352941,23
"174",74,139,0.733488955721259,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.2001151079137,7.79988489208633,25
"175",75,107,0.550668170116842,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,17.5426074766355,8.57339252336449,26.116
"176",76,73,0.674207887798548,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,13.7327945205479,6.26720547945206,20
"177",77,69,0.150075945444405,-1,1,1,-1,1,0.1,1,0.1,0.05,1,5,0.01,0,0.75,14.8130724637681,8.18692753623188,23
